IP-адрес,Порт,TLS,Дата-центр,Регион,Город,Задержка
5.10.245.132,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.244.246,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.245.63,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.245.1,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.244.53,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.245.187,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.245.190,443,true,HKG,Asia Pacific,Hong Kong,126 мс
5.10.245.74,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.244.15,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.247.203,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.245.228,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.245.2,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.245.186,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.244.247,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.245.65,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.244.161,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.245.127,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.247.62,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.247.58,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.245.104,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.245.108,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.244.80,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.244.91,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.245.58,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.244.27,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.244.160,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.244.13,443,true,HKG,Asia Pacific,Hong Kong,127 мс
5.10.245.90,443,true,HKG,Asia Pacific,Hong Kong,128 мс
5.10.247.198,443,true,HKG,Asia Pacific,Hong Kong,128 мс
5.10.246.177,443,true,HKG,Asia Pacific,Hong Kong,128 мс
5.10.244.96,443,true,HKG,Asia Pacific,Hong Kong,128 мс
5.10.245.192,443,true,HKG,Asia Pacific,Hong Kong,128 мс
5.10.244.41,443,true,HKG,Asia Pacific,Hong Kong,128 мс
5.10.245.130,443,true,HKG,Asia Pacific,Hong Kong,128 мс
5.10.246.174,443,true,HKG,Asia Pacific,Hong Kong,128 мс
5.10.244.156,443,true,HKG,Asia Pacific,Hong Kong,128 мс
5.10.247.68,443,true,HKG,Asia Pacific,Hong Kong,128 мс
5.10.245.197,443,true,HKG,Asia Pacific,Hong Kong,128 мс
5.10.244.25,443,true,HKG,Asia Pacific,Hong Kong,128 мс
5.10.244.209,443,true,HKG,Asia Pacific,Hong Kong,128 мс
5.10.244.67,443,true,HKG,Asia Pacific,Hong Kong,129 мс
5.10.244.94,443,true,HKG,Asia Pacific,Hong Kong,129 мс
5.10.244.45,443,true,HKG,Asia Pacific,Hong Kong,129 мс
5.10.244.216,443,true,HKG,Asia Pacific,Hong Kong,129 мс
5.10.246.195,443,true,HKG,Asia Pacific,Hong Kong,129 мс
5.10.245.61,443,true,HKG,Asia Pacific,Hong Kong,129 мс
5.10.244.248,443,true,HKG,Asia Pacific,Hong Kong,129 мс
5.10.246.251,443,true,HKG,Asia Pacific,Hong Kong,129 мс
5.10.245.62,443,true,HKG,Asia Pacific,Hong Kong,129 мс
5.10.245.8,443,true,HKG,Asia Pacific,Hong Kong,129 мс
